ADDR,NCID,CID[0]
"# 1 FRANK OGAWA PLAZA",1,11-056887
"# 200",1,10-907828
"#10 10TH ST",1,08-088757
"(NOT SURE WHERE THESE TOOK PLACE)",1,11-909470
"(UNKNOWN ADDRESS) 25TH AV",1,12-059379
"**11 69TH AVE",1,09-016291
"0 BLK 7TH ST",1,11-032561
"0 MARSH PL",1,10-004534
"00 10TH ST",4,14-903133
"00 41ST ST",1,14-010914
"00 4TH ST",2,14-903417
"00 7TH ST",4,14-002569
"00 8TH ST",1,14-014990
"00 9TH ST",1,14-900922
"00 AIRPORT ACCESS RD",5,13-914277
"00 AIRPORT DR",5,13-059090
"00 ANAIR WY",1,14-003974
"00 ASCOT COURT",1,14-901984
"00 BAY FOREST DRIVE",1,13-066143
"00 BAYO VISTA AV",1,14-902173
"00 BIEHS CT",1,14-901888
"00 BINNACLE HILL",1,14-001435
"00 BLK STANLY PL",1,14-000629
"00 BROADWAY",7,13-058523
"00 BUCKEYE AV",1,14-010951
"00 BURMA RD",1,14-010893
"00 CAMELLIA PL",1,14-903043
"00 CARY CT",1,14-014235
"00 CASTLE PARK WY",1,14-000493
"00 CATRON DR",1,13-064068
"00 CLARA CT",1,14-008965
"00 CLAY ST",1,14-901937
"00 COOLIDGE TER",1,14-902871
"00 DONNA WY",2,14-900752
"00 DOROTHY PL",1,14-001691
"00 E MACARTHUR",1,14-903353
"00 E ST",1,14-903261
"00 ECHO AV",1,14-902293
"00 EDGEMONT WAY",1,13-065011
"00 EDGEMONT WY",1,14-001316
"00 EL PATIO ST",1,14-003281
"00 ELDRIDGE AV",1,14-005954
"00 EMBARCADERO COVE",5,14-901389
"00 EMBARCADERO WEST",5,14-002209
"00 EVERGREEN LN",1,13-913776
"00 FAIRMOUNT AV",4,14-009445
"00 FOOTHILL BL",1,14-903048
"00 FRANK H OGAWA PLZ",1,14-011379
"00 FRANK OGAWA PL",1,14-014192
"00 FRANK OGAWA PLAZA",1,14-004275
"00 FRANKLIN ST",2,13-066128
"00 GLEN AV",1,14-902640
"00 GLENWOOD GLADE",1,14-902744
"00 GRAHAM PL",1,13-065528
"00 GRAND AV",11,14-900943
"00 HARRISON ST",1,14-014363
"00 HAWKS HILL CT.",1,13-065695
"00 HEGENBERGER LOOP",1,14-903183
"00 HEGENBERGER PLACE",1,13-912880
"00 HEGENBERGER RD",5,13-065836
"00 HERMOSA AV",1,14-003615
"00 HILLER DR",2,14-010963
"00 HOME PL E",2,14-901371
"00 HUNTER CT",1,13-058063
"00 INTERNATIONAL BLVD",1,14-901993
"00 JACK LONDON SQ",1,13-064578
"00 KAISER PLZ",2,13-913921
"00 KESWICK CT",1,14-014900
"00 KNOLL RIDGE WY",1,13-913991
"00 LINDA AV",4,13-913983
"00 MACARTHUR",1,13-061624
"00 MACARTHUR BLVD",1,14-902927
"00 MAIDEN LN",1,14-014658
"00 MANDALAY RD",2,13-914049
"00 MARKET ST",2,14-902394
"00 MARLOW DR",1,13-059891
"00 MARTIN LUTHER KING JR W",1,13-065745
"00 MONTE CRESTA AV",1,14-903153
"00 MONTE VISTA AV",2,14-006312
"00 MONTELL ST",1,14-901823
"00 MOSS AV",4,14-005178
"00 MYRTLE ST",1,14-900456
"00 OAK HILL CIR",1,14-007907
"00 OAK ST",1,14-900720
"00 PEARL ST",1,13-064283
"00 PEROLY CT",5,14-012623
"00 PERSHING DR",1,13-062294
"00 PINE HILLS CT",1,13-914179
"00 RANDWICK AVE",1,13-060617
"00 RIO VISTA AV",1,14-008781
"00 RISHELL DR",2,13-914274
"00 ROSSMOOR CT",1,14-001237
"00 RUE BARRAUTT",1,13-063657
"00 SALLY RIDE WAY",1,14-901983
"00 SAN LEANDRO AV",1,13-909073
"00 SHERIDAN RD",2,14-900329
"00 SOUTHWOOD CT",1,14-013414
"00 STEPHENS WAY",1,13-914111
"00 TUNNEL RD",5,13-913541
"00 VAN CLEAVE WAY",1,13-058820
"00 VERNON ST",4,13-063065
"00 WASHINGTON ST",2,14-901040
"00 WEBSTER ST",5,14-902830
"00 WESTALL AV",1,14-903258
"00 WHITMORE PL",1,13-065406
"00 WHITTLE COURT",1,14-902958
"00 YOSEMITE AV",2,13-913872
"000 38TH AVE AVE",1,13-910939
"0000 HERBEGNER RD",1,12-905507
"0000 LAURAL ST",1,13-910913
"0001 BLK 12TH ST.",1,09-039600
"0NLINE TRANSACTION",1,11-907647
"0UTSIDE",1,07-070972
"1 AIRPORT ACCESS RD",16,13-911381
"1 AIRPORT DR",329,07-008922
"1 AIRPORT DR.",1,10-902270
"1 AIRPORT DRIVE",5,10-901376
"1 ANAIR WY",3,10-017811
"1 AZALEA LN",3,10-063493
"1 BAY BRIDGE",10,12-905678
"1 BEECHWOOD DR",1,13-904055
"1 BELL WAVER WY",1,09-073717
"1 BROADWAY",17,13-025057
"1 BUS",1,11-901200
"1 CASTLE PARK WY",2,08-066513
"1 CITY BLVD",1,08-072595
"1 CITY HALL PLAZA",1,09-025742
"1 CLARA CT",2,10-037707
"1 COVINGTON ST",3,08-051406
"1 CRESTMONT DR",1,09-012919
"1 DNA WY",1,10-030245
"1 DREYER PL",1,08-082600
"1 DULWICH RD",1,10-062444
"1 EASTMONT TOWN CENTER",4,08-030352
"1 ELYSIAN PL",1,09-071002
"1 EMBACADERO WEST",1,08-016904
"1 EMBARCADERO COVE",7,10-068350
"1 EMBARCADERO WEST",17,11-038901
"1 ESSEX",1,10-056635
"1 EVIREL PL",1,09-063743
"1 EXCELSIOR CT",25,10-012124
"1 FERNHOFF CT",1,11-905038
"1 FRANK H OGAWA PLAZA",3,12-010842
"1 FRANK H OGAWA PLZ",70,07-079715
"1 FRANK O'GAWA",1,08-021062
"1 FRANK OGAWA PLAZA",3,09-050951
"1 FRANK OGAWA PLZ",1,08-080486
"1 FRANKLIN ST",13,09-043468
"1 GRAHAM PL",3,10-046476
"1 GREGORY PL",1,11-901800
"1 HARBOR BAY PARKWAY",1,08-056009
"1 HARBORD CT",1,10-029987
"1 HEGENBERGER CT",2,11-000262
"1 HEGENBERGER DR",1,13-013534
"1 HEGENBERGER RD.",3,08-077737
"1 HILLCREST CT",3,12-128815
"1 HILLER DR",20,09-080550
"1 HILLWOOD PL",1,09-006212
"1 HUNTER CT",4,07-097988
"1 JACK LONDON SQ",75,13-912080
"1 JEWELL CT",3,09-024615
"1 KAISER PLAZA",3,11-040228
"1 KAISER PLAZAR",1,09-044238
"1 KAISER PLZ",28,09-023680
"1 KELTON CT",24,12-045028
"1 KEY CT",1,10-009071
"1 KINGWOOD RD",3,08-032727
"1 KIRKLAND CT",1,09-075877
"1 LAKESIDE DRIVE",1,11-036381
"1 MAGGIORA CT",2,09-058472
"1 MARLOW DR",9,09-026356
"1 MELVIN CT",1,11-900687
"1 OAK HILL CIR",1,07-034198
"1 OGAWA PLZ",1,08-084729
"1 RANDWICK AV",1,11-004518
"1 REDDING PL",3,08-008414
"1 RIO",1,11-902227
"1 RIO VISTA AV",2,08-075312
"1 ROSS CIR",1,07-099119
"1 RYDAL CT",1,11-053319
"1 S  S",1,11-909360
"1 SALLY RIDE WY",8,11-905796
"1 SALLYRIDE WAY",1,11-904837
"1 SAMARIA LN",2,13-910683
"1 SERENO CIR",1,11-900071
"1 SERRAMAR DR",2,09-033014
"1 SKYWAY LN",1,07-005935
"1 SOUTHLAND MALL",1,12-905366
"1 SPORTS PARKWAY",1,10-901103
"1 STANLEY PL",1,11-017100
"1 TWITTER LN",1,09-048569
"1 VAN CLEAVE WY",1,11-024707
"1 WASHINGTON ST",1,09-022792
"1 WEBSTER ST",1,11-050970
"1 WEE BLYTHEN",1,11-903008
"1 WEST CIR",1,08-050899
"1 WESTWOOD CT",1,11-909546
"1 WHITTLE CT",2,10-907426
"1 WOODCREST CIR",1,10-065817
"1 ZHONE WY",1,09-033402
"1-2525 ST CATHERINES ST",1,10-061261
"10 10TH ST",67,12-013462
"10 10TH STREET",1,12-004977
"10 46 87TH",1,09-020388
"10 6TH ST",1,07-091215
"10 7TH ST",3,10-039056
"10 AGNES ST",1,11-025877
"10 BURDECK CT",2,11-007045
"10 CABRILLO PL",1,11-903493
"10 CHIMNEY ROCK",1,08-016028
"10 CLARA CT",1,10-041466
"10 CORTEZ CT",1,11-906133
"10 DOROTHY PL",2,10-060527
"10 E 12TH",1,11-024713
"10 ELDRIDGE AV",1,09-027918
"10 EVERGREEN AV",1,10-029525
"10 GRAHAM PL",1,10-018445
"10 GRAND AV",1,13-024921
"10 GRASS VALLEY CT",1,08-061115
"10 GREGORY PL",1,09-070562
"10 HEGENBERGER CT",2,11-057716
"10 HEGENBERGER RD",63,07-072461
"10 HILLCREST CT",1,11-043061
"10 KINGWOOD RD",2,09-904816
"10 KNOLL RIDGE WY",2,09-081830
"10 LINDA AVE",1,13-055629
"10 MAGGIORA DR",2,08-037768
"10 MARLOW DR",3,10-045148
"10 MASONIC PL",1,10-018437
"10 MONTWOOD WY",5,13-036921
"10 MOSS AV",18,12-909638
"10 PEROLY CT",1,07-089818
"10 RANDWICK AV",1,09-043527
"10 SARONI CT",1,10-902011
"10 SEQUOYAH VIEW DR",2,09-071557
"10 SKYWAY LN",1,09-016862
"10 ST",1,11-905696
"10 STEPHENS",2,11-003562
